Company,Sector,State,City,Roles,LinkedIn,Website
Centre for Excellence in Telecom Technology and Management,Telecommunications,Maharashtra,Mumbai,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/centre-for-excellence-in-telecom-technology-and-management,http://cettm.mtnl.in/
Cement Corporation of India,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/cement-corporation-of-india,http://www.cementcorporation.co.in/
Odisha State Road Transport Corporation,General,India,Bhubaneswar,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/odisha-state-road-transport-corporation,N/A
ABG Shipyard,Information Technology,Gujarat,Ahmedabad,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/abg-shipyard,N/A
A. H. Wheeler & Co,General,India,Prayagraj,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/a-h-wheeler-co,http://ahwheeler.com
A. H. Wheeler & Co,Retail,India,Prayagraj,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/a-h-wheeler-co,http://ahwheeler.com
Spice Telecom,Telecommunications,India,Mohali,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/spice-telecom,http://www.spiceindia.com/
CESC Limited,Energy,West Bengal,Kolkata,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/cesc-limited,http://cesc.co.in/
Kerala Tourism Development Corporation,General,India,Thiruvananthapuram,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/kerala-tourism-development-corporation,https://www.ktdc.com/
Tikona Digital Networks,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/tikona-digital-networks,http://tikona.in/
Divya Prabha Eye Hospital,Healthcare,India,Thiruvananthapuram,"Doctor, Nurse, Lab Technician, Pharmacist, Medical Officer",https://www.linkedin.com/company/divya-prabha-eye-hospital,http://www.DivyaPrabha.in
Canteen Stores Department,Retail,Maharashtra,Mumbai,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/canteen-stores-department,N/A
Trimurti Films,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/trimurti-films,N/A
General Pharma,Manufacturing,India,Dhanmondi Thana,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/general-pharma,http://www.generalpharma.com
Gujarat Energy Transmission Corporation Limited,General,Gujarat,Vadodara,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gujarat-energy-transmission-corporation-limited,https://www.getcogujarat.com
Gujarat State Electricity Corporation Limited,General,Gujarat,Vadodara,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gujarat-state-electricity-corporation-limited,https://www.gsecl.in
Escorts Group,Automotive,India,Faridabad,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/escorts-group,http://www.escortsgroup.com/
Bannari Amman Group,Conglomerate,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bannari-amman-group,http://www.bannari.com/
Essel Group,Conglomerate,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/essel-group,http://www.esselgroup.com/
Engineers India Limited,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/engineers-india-limited,http://www.engineersindia.com/
Sembcorp Energy India Limited,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sembcorp-energy-india-limited,https://www.sembcorpenergyindia.com
GVK,Conglomerate,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gvk,http://www.gvk.com/
GVK,Conglomerate,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gvk,http://www.gvkbio.com/
Emami,Conglomerate,West Bengal,Kolkata,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/emami,http://www.emamiltd.in/
Husk Power Systems,Energy,India,Patna,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/husk-power-systems,http://www.huskpowersystems.com
Jabong.com,Information Technology,Haryana,Gurgaon,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/jabong-com,http://www.jabong.com/
Balaji Telefilms,Media & Entertainment,Maharashtra,Mumbai,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/balaji-telefilms,https://balajitelefilms.com/
IXiGO.com,General,Haryana,Gurgaon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ixigo-com,http://www.ixigo.com
EFY Enterprises,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/efy-enterprises,http://efyindia.com/
Gujarat Refinery,Energy,India,N/A,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/gujarat-refinery,N/A
Ideal Ice Cream,Retail,India,Mangaluru,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/ideal-ice-cream,http://www.idealicecream.in/
Indian Telephone Industries Limited,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/indian-telephone-industries-limited,http://www.itiltd-india.com/
Geometric Limited,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/geometric-limited,http://www.geometricglobal.com/
HLL Lifecare Limited,Healthcare,India,Thiruvananthapuram,"Doctor, Nurse, Lab Technician, Pharmacist, Medical Officer",https://www.linkedin.com/company/hll-lifecare-limited,http://www.lifecarehll.com/
Bharat Aluminium Company,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bharat-aluminium-company,http://www.balcoindia.com/
Avantha Group,Conglomerate,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/avantha-group,http://www.avanthagroup.com/
Eastern Coalfields Limited,Mining,India,Asansol,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/eastern-coalfields-limited,N/A
Heavy Vehicles Factory,Information Technology,Tamil Nadu,Chennai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/heavy-vehicles-factory,http://ofb.gov.in/
DesignTech Systems,Biotechnology,Maharashtra,Pune,"Research Scientist, Lab Technician, Bioprocess Engineer",https://www.linkedin.com/company/designtech-systems,http://www.designtechsys.com/
Indian Rare Earths Limited,Mining,Maharashtra,Mumbai,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/indian-rare-earths-limited,http://www.irel.gov.in
Finolex Group,General,Maharashtra,Pune,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/finolex-group,http://www.finolex.com/
JioStar,Media & Entertainment,Maharashtra,Mumbai,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/jiostar,https://www.startv.com/
Driptech,Agriculture,Maharashtra,Pune,"Agronomist, Farm Manager, Agricultural Engineer",https://www.linkedin.com/company/driptech,http://www.driptech.com/
Garden Reach Shipbuilders & Engineers,Information Technology,West Bengal,Kolkata,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/garden-reach-shipbuilders-engineers,https://grse.in
Innovis,Information Technology,India,Columbus,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/innovis,https://www.innovis.com/
General Pharma,Manufacturing,India,Dhanmondi Thana,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/general-pharma,http://www.generalpharma.com
Bengal Nagpur Railway,Retail,West Bengal,Kolkata,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/bengal-nagpur-railway,N/A
Biological E. Limited,Biotechnology,Telangana,Hyderabad,"Research Scientist, Lab Technician, Bioprocess Engineer",https://www.linkedin.com/company/biological-e-limited,http://www.Biologicale.com/
Gujarat Energy Transmission Corporation Limited,General,Gujarat,Vadodara,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gujarat-energy-transmission-corporation-limited,https://www.getcogujarat.com
Gujarat State Electricity Corporation Limited,General,Gujarat,Vadodara,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gujarat-state-electricity-corporation-limited,https://www.gsecl.in
Escorts Group,Automotive,India,Faridabad,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/escorts-group,http://www.escortsgroup.com/
Essel Group,Conglomerate,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/essel-group,http://www.esselgroup.com/
Engineers India Limited,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/engineers-india-limited,http://www.engineersindia.com/
Bharat Pumps & Compressors,General,India,Prayagraj,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bharat-pumps-compressors,http://www.bharatpumps.co.in
Sembcorp Energy India Limited,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sembcorp-energy-india-limited,https://www.sembcorpenergyindia.com
GVK,Conglomerate,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gvk,http://www.gvk.com/
GVK,Conglomerate,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gvk,http://www.gvkbio.com/
Emami,Conglomerate,West Bengal,Kolkata,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/emami,http://www.emamiltd.in/
Bharat Forge,Manufacturing,Maharashtra,Pune,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/bharat-forge,http://www.bharatforge.com/
Husk Power Systems,Energy,India,Patna,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/husk-power-systems,http://www.huskpowersystems.com
Balmer Lawrie,General,India,Balmer Lawrie Headquarters Building,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/balmer-lawrie,http://www.balmerlawrie.com/
InMobi,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/inmobi,https://japan.inmobi.com
InMobi,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/inmobi,https://www.inmobi.com
Aurobindo Pharma,Pharmaceuticals,Telangana,Hyderabad,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/aurobindo-pharma,http://www.aurobindo.com
Gini & Jony,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gini-jony,http://www.giniandjony.com/
Fertilizer Corporation of India Limited,General,India,Banipate Banartpur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/fertilizer-corporation-of-india-limited,N/A
GetVidya,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/getvidya,http://www.getvidya.com
Aurora Degree College,General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/aurora-degree-college,N/A
Gleneagles Global Hospitals,General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gleneagles-global-hospitals,https://www.gleneaglesglobalhospitals.com/
63 Moons Technologies,Information Technology,Tamil Nadu,Chennai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/63-moons-technologies,https://www.63moons.com/
Delhi Press,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/delhi-press,http://delhipress.in/
Hindustan Cables,General,India,Hindusthan Cables Town,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/hindustan-cables,N/A
Hindustan Copper Limited,Mining,West Bengal,Kolkata,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/hindustan-copper-limited,N/A
Cubic Corporation,General,India,San Diego,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/cubic-corporation,https://www.cubic.com/
Illuminati Films,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/illuminati-films,N/A
HCL Technologies,Information Technology,India,Banipate Banartpur,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/hcl-technologies,https://www.hcltech.com
Durgapur Steel Plant,Steel & Metals,India,Durgapur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/durgapur-steel-plant,https://sail.co.in/en/plants/about-durgapur-steel-plant
General Motors India Private Limited,Automotive,India,Halol,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/general-motors-india-private-limited,http://chevrolet.co.in/
HyperCity,Retail,Maharashtra,Mumbai,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/hypercity,N/A
JSW Group,Conglomerate,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/jsw-group,http://www.jsw.in/
Hamdard Laboratories (India),Food & Beverage,India,New Delhi,"Food Technologist, Production Manager, Quality Control Executive",https://www.linkedin.com/company/hamdard-laboratories-india,http://www.hamdard.com
BIGFlix,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bigflix,http://www.bigflix.com
Automotive Research Association of India,Automotive,Maharashtra,Pune,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/automotive-research-association-of-india,https://www.araiindia.com/
Ipca Laboratories,Pharmaceuticals,Maharashtra,Mumbai,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/ipca-laboratories,http://www.ipcalabs.com/
EXIM Bank India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/exim-bank-india,http://www.eximbankindia.in/
Cox & Kings,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/cox-kings,http://www.coxandkings.com/
Helion Venture Partners,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/helion-venture-partners,http://www.helionvc.com/
Dialog,Information Technology,India,Colombo,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/dialog,https://www.dialog.lk/
Glenmark Pharmaceuticals,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/glenmark-pharmaceuticals,http://www.glenmarkpharma.com/
Indus Towers,Telecommunications,India,New Delhi,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/indus-towers,https://www.industowers.com/
Nayara Energy,Energy,Maharashtra,Mumbai,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/nayara-energy,https://www.nayaraenergy.com
GMR Group,Conglomerate,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gmr-group,http://www.gmrgroup.co.in/
General Insurance Corporation of India,Insurance,Maharashtra,Mumbai,"Claims Executive, Underwriter, Policy Advisor",https://www.linkedin.com/company/general-insurance-corporation-of-india,https://www.gicofindia.com/en
iRunway,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/irunway,http://www.i-Runway.com
"Braithwaite, Burn & Jessop Construction Company",General,West Bengal,Kolkata,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/braithwaite-burn-jessop-construction-company,N/A
Entertainment Network India Limited,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/entertainment-network-india-limited,N/A
Heavy Alloy Penetrator Project,Information Technology,India,Tiruchirappalli,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/heavy-alloy-penetrator-project,http://ofb.gov.in/
English Indian Clays,Manufacturing,India,New Delhi,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/english-indian-clays,http://www.eicl.in/
Glenmark Pharmaceuticals,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/glenmark-pharmaceuticals,http://www.glenmarkpharma.com/GLN_NWS/homepage.aspx?res=P_GLN
Indian Drugs and Pharmaceuticals Limited,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/indian-drugs-and-pharmaceuticals-limited,http://www.idpl.gov.in/home.html
Indian Farmers Fertiliser Cooperative Limited,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/indian-farmers-fertiliser-cooperative-limited,N/A
Swaraj Mazda,Automotive,India,Chandigarh,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/swaraj-mazda,http://www.swarajmazda.net/
JSW Steel Ltd,Steel & Metals,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/jsw-steel-ltd,http://www.jsw.in/
Electronics Corporation of India Limited,General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/electronics-corporation-of-india-limited,http://www.ecil.co.in
Crossword Bookstores,Retail,Maharashtra,Mumbai,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/crossword-bookstores,https://www.crossword.in/
BharatMatrimony,General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bharatmatrimony,http://www.bharatmatrimony.com
Indian Thought Publications,General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/indian-thought-publications,N/A
Eveready Industries India,General,India,West Bengal,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/eveready-industries-india,https://www.evereadyindia.com/
Cyberpark,Information Technology,India,N/A,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/cyberpark,https://www.cyberparkkerala.org/
Educational Consultants India Limited,General,India,Banipate Banartpur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/educational-consultants-india-limited,http://www.edcilindia.co.in
IndiaMART,General,India,Banipate Banartpur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/indiamart,http://www.indiamart.com
Escorts Group,Energy,India,Faridabad,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/escorts-group,http://www.escortsgroup.com/
HCL Technologies,Information Technology,India,Banipate Banartpur,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/hcl-technologies,https://www.hcltech.com
Ballarpur Industries Limited,General,Haryana,Gurgaon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ballarpur-industries-limited,http://www.bilt.com/
EFY Enterprises,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/efy-enterprises,http://efyindia.com/
Brahma Vision Private Limited,Media & Entertainment,Maharashtra,Mumbai,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/brahma-vision-private-limited,http://www.brahmavision.com
Jay Production,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/jay-production,http://www.jayproduction.co.in/
IRB Infrastructure,Conglomerate,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/irb-infrastructure,http://www.irb.co.in
Dakshin Gujarat Vij Company Limited,General,Gujarat,Surat,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dakshin-gujarat-vij-company-limited,https://www.dgvcl.com
ICRA Limited,Banking & Finance,Haryana,Gurgaon,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/icra-limited,N/A
Jaypee Group,Conglomerate,India,Banipate Banartpur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/jaypee-group,http://www.jalindia.com/
Delhi University Community Radio,Information Technology,India,New Delhi,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/delhi-university-community-radio,http://ducr.du.ac.in/
Eko India Financial Services,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/eko-india-financial-services,http://www.eko.co.in/
Gujarat Mineral Development Corporation Limited,Mining,Gujarat,Ahmedabad,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/gujarat-mineral-development-corporation-limited,N/A
Escorts Group,Manufacturing,India,Faridabad,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/escorts-group,http://www.escortsgroup.com/
Bongaigaon Refinery and Petrochemicals Limited,Energy,India,"Bongaigaon, Assam, India","Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/bongaigaon-refinery-and-petrochemicals-limited,http://www.brplindia.com
Bajaj Hindusthan Limited,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bajaj-hindusthan-limited,http://www.bajajhindusthan.com
Avesthagen,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/avesthagen,http://www.avesthagen.com/
Balaji Motion Pictures,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/balaji-motion-pictures,http://www.balajitelefilms.com
Hindustan Zinc Limited,Mining,India,Udaipur,"Mining Engineer, Geologist, Safety Officer",https://www.linkedin.com/company/hindustan-zinc-limited,http://www.hzlindia.com/
IMImobile,General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/imimobile,http://www.imimobile.com/
Indian Express Limited,Media & Entertainment,India,New Delhi,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/indian-express-limited,N/A
InMobi,General,India,San Francisco,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/inmobi,https://japan.inmobi.com
InMobi,General,India,San Francisco,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/inmobi,https://www.inmobi.com
IBM India Private Limited,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/ibm-india-private-limited,http://www.ibm.com/in/
Asia MotorWorks,Automotive,Maharashtra,Mumbai,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/asia-motorworks,http://www.amwmotors.com/
ICICI Lombard,Insurance,Maharashtra,Mumbai,"Claims Executive, Underwriter, Policy Advisor",https://www.linkedin.com/company/icici-lombard,https://www.icicilombard.com/
BMW India,Automotive,Haryana,Gurgaon,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/bmw-india,http://www.bmw.in
Audit Bureau of Circulations,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/audit-bureau-of-circulations,http://www.auditbureau.org/
Elder Pharmaceuticals,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/elder-pharmaceuticals,http://www.elderindia.com/
Star Studio18,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/star-studio18,https://www.startv.com/about-us/movies/
Dabur Research Foundation,General,India,Ghaziabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dabur-research-foundation,http://www.daburresearch.in/
HDIL,Education,Maharashtra,Mumbai,"Teacher, Academic Coordinator, Education Counselor",https://www.linkedin.com/company/hdil,http://www.hdil.in
Dedicated Freight Corridor Corporation of India,Retail,India,New Delhi,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/dedicated-freight-corridor-corporation-of-india,http://www.dfccil.gov.in/dfccil_app/home.jsp
Divya Prabha Eye Hospital,Healthcare,India,Thiruvananthapuram,"Doctor, Nurse, Lab Technician, Pharmacist, Medical Officer",https://www.linkedin.com/company/divya-prabha-eye-hospital,http://www.DivyaPrabha.in
Port Pipavav,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/port-pipavav,http://www.pipavav.com
Solaris Pictures,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/solaris-pictures,http://www.solarispictures.com
Navneet Publications,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/navneet-publications,https://www.navneet.com
Kerala State Industrial Enterprises Limited,General,India,Vazhuthacaud,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/kerala-state-industrial-enterprises-limited,N/A
Oxford Bookstore,Retail,West Bengal,Kolkata,"Store Manager, Category Manager, Merchandiser, Sales Executive",https://www.linkedin.com/company/oxford-bookstore,https://oxfordbookstore.com/
Sintex Industries,General,India,Kalol,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sintex-industries,http://www.sintex.in
Malabar Institute of Medical Sciences,General,India,Kozhikode,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/malabar-institute-of-medical-sciences,http://www.mimsindia.com/
Murugappa Group,Conglomerate,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/murugappa-group,http://www.murugappa.com
Human kind Pharma,Pharmaceuticals,India,Okhla,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/human-kind-pharma,https://www.mankindpharma.com/
Multi Commodity Exchange Of India Ltd.,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/multi-commodity-exchange-of-india-ltd,https://www.mcxindia.com
Panacea Biotec,Pharmaceuticals,India,New Delhi,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/panacea-biotec,http://www.panacea-biotec.com
S. Kumars,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/s-kumars,http://www.sknl.co.in/
MARG,General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/marg,http://marggroup.com
Nuclear Fuel Complex,General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/nuclear-fuel-complex,http://www.nfc.gov.in
Raymond Ltd,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/raymond-ltd,http://www.raymondindia.com/grp_ra.asp
